[MLP]   svm_data_20260507_133636.csv                       24741샘플
[MLP] CSV 로드  →  총 24741샘플
[MLP] 로드 완료 | 전체: 24741개  (배경: 12371, 사람: 12370)
[MLP] 특징 모드: ESP32 (21개)
[MLP] 학습: 19792개 (80%)  검증: 4949개 (20%)  [비율고정: 유지 | 분리시드: 42]
[MLP] 스케일러: StandardScaler (z-score)
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[MLP]  디바이스: cpu
[MLP]  구조: 21 → 128 → 64 → 32 → 2
[MLP]  에폭: 1500  배치: 128  LR: 2.00e-03  Dropout: 0.2
[MLP]  Early Stop: 비활성화
[MLP]  LR 스케줄러: patience=50  factor=0.5  min_lr=1e-6
[MLP]  검증 비율: 20%  분리 비율고정: 유지  분리 시드: 42
[MLP]  스케일러: StandardScaler  특징 모드: ESP32
[MLP]  사용 특징 (21개): SPECTRAL_ROLLOFF, SPECTRAL_BANDWIDTH, PEAK_COUNT, MID_RATIO, LOW_TO_HIGH_RATIO, SECOND_PEAK_FREQ, KURTOSIS, CENTROID, PEAK_FREQ, LOW_RATIO, RMS, AVG_ENERGY, PEAK_ENERGY, ENERGY_VARIANCE, PEAK_TO_AVG_E, HIGH_RATIO, PEAK1_TO_PEAK2_RATIO, SKEWNESS, DC_RATIO, DELTA_PEAK_FREQ, SPECTRAL_FLATNESS
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  에폭 106/1500 | 손실: 0.3579 | 검증손실: 0.3762 | 학습: 89.0% | 검증: 83.0% | lr: 2.00e-03 | 0.3s
  에폭 107/1500 | 손실: 0.3593 | 검증손실: 0.3751 | 학습: 89.2% | 검증: 83.1% | lr: 2.00e-03 | 0.3s
  에폭 108/1500 | 손실: 0.3593 | 검증손실: 0.3789 | 학습: 89.1% | 검증: 83.0% | lr: 2.00e-03 | 0.3s
  에폭 109/1500 | 손실: 0.3569 | 검증손실: 0.3807 | 학습: 89.0% | 검증: 83.4% | lr: 2.00e-03 | 0.3s ★
  에폭 110/1500 | 손실: 0.3476 | 검증손실: 0.3774 | 학습: 89.3% | 검증: 83.2% | lr: 2.00e-03 | 0.3s
  에폭 111/1500 | 손실: 0.3547 | 검증손실: 0.3775 | 학습: 89.2% | 검증: 83.2% | lr: 2.00e-03 | 0.3s
  에폭 112/1500 | 손실: 0.3548 | 검증손실: 0.3814 | 학습: 88.6% | 검증: 82.2% | lr: 2.00e-03 | 0.3s
  에폭 113/1500 | 손실: 0.3521 | 검증손실: 0.3773 | 학습: 89.3% | 검증: 83.1% | lr: 2.00e-03 | 0.3s
  에폭 114/1500 | 손실: 0.3575 | 검증손실: 0.3814 | 학습: 88.8% | 검증: 83.1% | lr: 2.00e-03 | 0.3s
  에폭 115/1500 | 손실: 0.3521 | 검증손실: 0.3765 | 학습: 89.1% | 검증: 83.2% | lr: 2.00e-03 | 0.3s
  에폭 116/1500 | 손실: 0.3456 | 검증손실: 0.3740 | 학습: 89.5% | 검증: 83.2% | lr: 2.00e-03 | 0.3s
  에폭 117/1500 | 손실: 0.3507 | 검증손실: 0.3765 | 학습: 89.1% | 검증: 83.5% | lr: 2.00e-03 | 0.3s ★
  에폭 118/1500 | 손실: 0.3493 | 검증손실: 0.3775 | 학습: 89.0% | 검증: 83.3% | lr: 2.00e-03 | 0.3s
  에폭 119/1500 | 손실: 0.3518 | 검증손실: 0.3819 | 학습: 89.4% | 검증: 82.6% | lr: 2.00e-03 | 0.3s
  에폭 120/1500 | 손실: 0.3471 | 검증손실: 0.3755 | 학습: 89.2% | 검증: 83.1% | lr: 2.00e-03 | 0.3s
  에폭 121/1500 | 손실: 0.3504 | 검증손실: 0.3666 | 학습: 89.8% | 검증: 83.9% | lr: 2.00e-03 | 0.3s ★
  에폭 122/1500 | 손실: 0.3426 | 검증손실: 0.3693 | 학습: 89.6% | 검증: 83.5% | lr: 2.00e-03 | 0.3s
  에폭 123/1500 | 손실: 0.3494 | 검증손실: 0.3747 | 학습: 89.2% | 검증: 83.2% | lr: 2.00e-03 | 0.3s
  에폭 124/1500 | 손실: 0.3495 | 검증손실: 0.3767 | 학습: 89.1% | 검증: 83.1% | lr: 2.00e-03 | 0.3s
  에폭 125/1500 | 손실: 0.3413 | 검증손실: 0.3698 | 학습: 89.8% | 검증: 83.2% | lr: 2.00e-03 | 0.3s
  에폭 126/1500 | 손실: 0.3463 | 검증손실: 0.3732 | 학습: 89.8% | 검증: 83.1% | lr: 2.00e-03 | 0.3s
  에폭 127/1500 | 손실: 0.3456 | 검증손실: 0.3874 | 학습: 89.0% | 검증: 82.0% | lr: 2.00e-03 | 0.3s
  에폭 128/1500 | 손실: 0.3448 | 검증손실: 0.3731 | 학습: 89.8% | 검증: 83.7% | lr: 2.00e-03 | 0.3s
  에폭 129/1500 | 손실: 0.3445 | 검증손실: 0.3855 | 학습: 89.4% | 검증: 82.9% | lr: 2.00e-03 | 0.3s
  에폭 130/1500 | 손실: 0.3419 | 검증손실: 0.3642 | 학습: 90.2% | 검증: 84.0% | lr: 2.00e-03 | 0.3s ★
  에폭 131/1500 | 손실: 0.3397 | 검증손실: 0.3715 | 학습: 90.1% | 검증: 83.3% | lr: 2.00e-03 | 0.3s
  에폭 132/1500 | 손실: 0.3376 | 검증손실: 0.3670 | 학습: 89.8% | 검증: 83.7% | lr: 2.00e-03 | 0.3s
  에폭 133/1500 | 손실: 0.3413 | 검증손실: 0.3725 | 학습: 90.2% | 검증: 83.8% | lr: 2.00e-03 | 0.3s
  에폭 134/1500 | 손실: 0.3401 | 검증손실: 0.3725 | 학습: 89.8% | 검증: 83.7% | lr: 2.00e-03 | 0.3s
  에폭 135/1500 | 손실: 0.3363 | 검증손실: 0.3658 | 학습: 90.2% | 검증: 83.8% | lr: 2.00e-03 | 0.3s
  에폭 136/1500 | 손실: 0.3352 | 검증손실: 0.3659 | 학습: 90.4% | 검증: 83.7% | lr: 2.00e-03 | 0.3s
  에폭 137/1500 | 손실: 0.3396 | 검증손실: 0.3739 | 학습: 90.0% | 검증: 83.2% | lr: 2.00e-03 | 0.3s
  에폭 138/1500 | 손실: 0.3339 | 검증손실: 0.3739 | 학습: 90.6% | 검증: 84.0% | lr: 2.00e-03 | 0.3s ★
